,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Bandarbeyla,SO,76.87,scattered clouds,9.4942,50.8122,JABIR HOTEL
18,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
26,Iquitos,PE,78.84,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
27,Balotra,IN,79.84,clear sky,25.8333,72.2333,Hotel City Square
37,Beeville,US,80.98,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
39,Itarema,BR,77.83,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
41,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Lorengau,PG,85.91,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
46,Sur,OM,77.58,clear sky,22.5667,59.5289,Sur Plaza Hotel
47,Coro,VE,80.62,clear sky,11.4045,-69.6734,Federal
48,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
52,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
61,Touros,BR,76.91,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
63,Altamont,US,76.39,few clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
65,Hobyo,SO,76.1,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
66,Tera,NE,86.74,clear sky,14.0078,0.7531,Hotel Daressalam Téra
67,Magrath,CA,75.34,clear sky,49.4167,-112.8686,Lindenbaum Bed & Breakfast
68,Salalah,OM,76.01,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
74,Nagato,JP,78.78,few clouds,34.3833,131.2,いそう庵
75,Kahului,US,80.96,light rain,20.8947,-156.47,Maui Seaside Hotel
77,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
85,Itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
90,Posse,BR,75.29,few clouds,-14.0931,-46.3694,Pousada das Palmeiras
94,Cabo San Lucas,MX,88.05,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
97,Victoria,HK,86.38,clear sky,22.2855,114.1577,Mini Central
100,Talisay,PH,82.42,broken clouds,10.2447,123.8494,RedDoorz Celbyrne Pension Hauz
104,Magaria,NE,83.03,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
107,Labrea,BR,78.87,moderate rain,-7.2586,-64.7981,Hotel Novo Horizonte
108,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
109,Meulaboh,ID,76.37,light rain,4.1363,96.1285,Kost Pria
112,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
113,Praya,CV,79.34,thunderstorm,14.9215,-23.5087,LT Aparthotel
119,Djenne,ML,79.97,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
121,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
122,Faanui,PF,78.4,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
127,Sao Filipe,CV,79.2,light rain,14.8961,-24.4956,Hotel Xaguate
128,Seguin,US,80.91,overcast clouds,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
135,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
140,Basco,PH,83.41,few clouds,20.4487,121.9702,Nathaniel's Lodge
141,Katherine,AU,86.32,clear sky,-14.4667,132.2667,Pine Tree Motel
146,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
148,Acapulco,MX,79.86,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
151,Atuona,PF,76.53,few clouds,-9.8,-139.0333,Villa Enata
174,Wanning,CN,82.22,overcast clouds,18.8003,110.3967,Paradise Hotel
181,Harper,LR,75.85,overcast clouds,4.375,-7.7169,Screensaver
185,San Patricio,US,78.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
186,Manavadar,IN,75.99,overcast clouds,21.5,70.1333,Dariyasheth Guest House
191,Kavieng,PG,85.75,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
197,Tual,ID,81.9,broken clouds,-5.6667,132.75,Grand Vilia Hotel
203,Namatanai,PG,86.58,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
205,Nhulunbuy,AU,86.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
208,San Joaquin,US,86.11,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
211,Sabang,ID,80.91,overcast clouds,5.8933,95.3214,Hotel Citra
214,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
216,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
217,Butaritari,KI,81.77,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
228,Ecoporanga,BR,76.98,overcast clouds,-18.3733,-40.8306,Hotel Bar e Restaurante do Dico
232,Nichlaul,IN,75.52,broken clouds,27.3167,83.7333,Karan Manes Parler
236,Port-Gentil,GA,77.5,overcast clouds,-0.7193,8.7815,Fengshui Residence
242,Icod De Los Vinos,ES,77.22,scattered clouds,28.3724,-16.7119,Hotel El Patio
246,Kribi,CM,75.79,light rain,2.95,9.9167,La Grace Hôtel
248,Takoradi,GH,75.02,overcast clouds,4.8845,-1.7554,Raybow International Hotel
250,Biak,ID,83.05,broken clouds,-0.9131,122.8766,Penginapan Kim
251,Karaton,ID,76.8,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
253,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
259,Howard Springs,AU,85.98,light rain,-12.497,131.047,buffalo beach hostel
262,Hasaki,JP,83.21,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
263,Mount Isa,AU,89.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
264,Vila Franca Do Campo,PT,75.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
265,Progreso,MX,81.1,few clouds,21.2833,-89.6667,Playa Linda Hotel
268,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
269,Karratha,AU,79.5,clear sky,-20.7377,116.8463,ibis Styles Karratha
270,Makakilo City,US,84.43,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
273,Matadi,CD,75.61,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
275,Zirandaro,MX,78.22,broken clouds,18.45,-100.9833,El Naranjo
277,Miri,MY,80.82,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
280,Madang,PG,85.51,few clouds,-5.2246,145.7966,Comfort Inn Hotel
283,Ipanguacu,BR,76.51,overcast clouds,-5.4983,-36.855,"Rua Manoel Lins Caldas, 47"
284,Diamantino,BR,75.6,overcast clouds,-14.4086,-56.4461,Hotel Delta
287,Laguna,US,88.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
292,Manokwari,ID,83.59,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
294,Catuday,PH,82.29,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
298,Shimoda,JP,82.11,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
299,Sri Aman,MY,77.49,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
304,Carutapera,BR,77.99,clear sky,-1.195,-46.02,Lidera
312,Quang Ngai,VN,79.65,overcast clouds,15.1167,108.8,Central Hotel
314,Uniara,IN,75.6,clear sky,26.15,75.2167,Super rajasthani masti comedy
315,Poso,ID,84.72,few clouds,-1.3959,120.7524,Hotel 77 Poso
323,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Green leaf
326,Honiara,SB,86.74,overcast clouds,-9.4333,159.95,Heritage Park Hotel
328,Nacozari,MX,81.68,clear sky,25.3366,-108.2574,El Llano
330,Kupang,ID,85.44,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
333,Mayumba,GA,75.61,light rain,-3.432,10.6554,LIKWALE LODGE
336,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
342,Naze,JP,78.69,few clouds,28.3667,129.4833,Shishime Hotel
345,Camopi,GF,75.72,broken clouds,3.1655,-52.3158,La pousada
349,Sainthia,IN,76.84,overcast clouds,23.95,87.6667,Sainthia Airtel Store
350,Bosaso,SO,83.62,broken clouds,11.2842,49.1816,Red Sea Hotel
356,La Palma,US,84.81,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
358,Alampur,IN,75.83,overcast clouds,15.8833,78.15,Haritha Hotel Alampur
365,Paka,MY,79.84,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
369,Sao Felix Do Xingu,BR,78.21,clear sky,-6.6447,-51.995,Rio Xingu Camping
370,Port Augusta,AU,81.66,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
372,Santo Domingo,DO,76.68,few clouds,18.5001,-69.9886,Cabañas City Heart
376,Bonoua,CI,76.62,scattered clouds,5.2741,-3.595,Hotel Bon Samaritian
377,Banjarmasin,ID,78.94,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
381,Kamiichi,JP,79.38,moderate rain,36.7,137.3667,つるぎ 恋月
383,West Bay,KY,82.47,scattered clouds,19.3667,-81.4167,Calypso Cove
397,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
399,Hit,IQ,80.85,clear sky,33.6416,42.8251,المعلق حسان رزاق
404,Muscat,OM,82.42,clear sky,23.6139,58.5922,Mutrah Hotel
406,Muroto,JP,78.33,scattered clouds,33.2833,134.15,Oota Ryokan
407,Dong Hoi,VN,80.42,broken clouds,17.4833,106.6,Nam Long Hotel
409,Rock Sound,BS,82.04,scattered clouds,24.9,-76.2,Pink Corral Bay Property
410,Tutoia,BR,78.31,clear sky,-2.7619,-42.2744,Pousada Guará's
411,Voh,NC,79.27,clear sky,-20.9667,164.7,Le gîte du Koniambo
417,San Juan,AR,75.06,clear sky,-31.5375,-68.5364,Hotel Provincial
422,Waingapu,ID,85.19,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
426,Kalmunai,LK,79.12,overcast clouds,7.4167,81.8167,VS Villa
430,Camocim,BR,77.16,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
434,Hays,US,78.82,overcast clouds,30.0502,-98.0336,CHAPEL HOME
436,Jacmel,HT,78.62,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
437,Tay Ninh,VN,81.03,scattered clouds,11.3,106.1,Thanh Tuyền Hotel
441,Dingle,PH,83.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
442,Andros Town,BS,80.94,broken clouds,24.7,-77.7667,Hanks place
444,Bitung,ID,86.85,broken clouds,1.4451,125.1824,K2 Lembeh
445,Bima,ID,86.94,overcast clouds,-8.4667,118.7167,Lambitu Hotel
450,Jerantut,MY,76.86,overcast clouds,3.936,102.3626,Jerantut Hill Resort
453,Karachi,PK,78.62,smoke,24.9056,67.0822,Sadaat
458,Bubaque,GW,80.98,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
464,Pedernales,DO,82.17,overcast clouds,18.0384,-71.744,Hotel Costa Marina
466,Vanimo,PG,86.79,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
468,Tautira,PF,76.64,light rain,-17.7333,-149.15,Pension Oaoa
469,Isla Mujeres,MX,77.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
475,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
476,Inirida,CO,77.25,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
480,Kirakira,SB,82.94,overcast clouds,-10.4544,161.9205,SanBiz Lodge
488,Moctezuma,MX,80.22,clear sky,29.8,-109.6667,Hotel Lobohombo
