City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Hobart,-42.8794,147.3294,55.26,55,40,12.66,AU,2022-10-04 00:51:20,scattered clouds
1,Mar Del Plata,-38.0023,-57.5575,53.1,84,0,6.91,AR,2022-10-04 00:53:59,clear sky
2,Mataura,-46.1927,168.8643,53.87,65,98,10.98,NZ,2022-10-04 00:53:59,overcast clouds
3,Kodiak,57.79,-152.4072,51.31,76,100,10.36,US,2022-10-04 00:54:00,overcast clouds
4,Port Elizabeth,-33.918,25.5701,59.31,87,0,13.8,ZA,2022-10-04 00:54:00,clear sky
5,Chokurdakh,70.6333,147.9167,24.53,84,98,4.52,RU,2022-10-04 00:54:00,overcast clouds
6,Cape Town,-33.9258,18.4232,56.12,87,20,4.61,ZA,2022-10-04 00:49:06,few clouds
7,Albany,42.6001,-73.9662,48.58,79,100,1.88,US,2022-10-04 00:49:36,overcast clouds
8,Yellowknife,62.456,-114.3525,46.92,66,75,10.36,CA,2022-10-04 00:54:01,broken clouds
9,Moose Factory,51.2585,-80.6094,60.78,77,100,4.61,CA,2022-10-04 00:54:01,overcast clouds
10,Seda,57.65,25.75,43.05,94,100,11.52,LV,2022-10-04 00:54:02,overcast clouds
11,Ostrovnoy,68.0531,39.5131,41.79,79,100,10.27,RU,2022-10-04 00:54:02,overcast clouds
12,Bandarbeyla,9.4942,50.8122,76.87,77,26,21.52,SO,2022-10-04 00:54:03,scattered clouds
13,Busselton,-33.65,115.3333,57.65,65,0,12.95,AU,2022-10-04 00:54:03,clear sky
14,Bambous Virieux,-20.3428,57.7575,70.21,78,40,9.22,MU,2022-10-04 00:54:04,scattered clouds
15,Rikitea,-23.1203,-134.9692,71.35,66,100,19.53,PF,2022-10-04 00:54:04,overcast clouds
16,Ahipara,-35.1667,173.1667,58.98,70,93,11.41,NZ,2022-10-04 00:54:04,overcast clouds
17,Punta Arenas,-53.15,-70.9167,42.91,87,75,10.36,CL,2022-10-04 00:50:11,broken clouds
18,Hithadhoo,-0.6,73.0833,81.97,69,100,16.67,MV,2022-10-04 00:54:05,overcast clouds
19,Ushuaia,-54.8,-68.3,46.06,66,0,1.14,AR,2022-10-04 00:53:01,clear sky
20,Olafsvik,64.8945,-23.7142,46.29,78,100,22.03,IS,2022-10-04 00:54:06,overcast clouds
21,Sabla,12.7525,4.7077,79.99,74,17,9.15,NG,2022-10-04 00:54:06,few clouds
22,Thompson,55.7435,-97.8558,46.56,66,20,0.0,CA,2022-10-04 00:53:26,few clouds
23,Zhezkazgan,47.8043,67.7144,34.77,37,0,11.18,KZ,2022-10-04 00:54:07,clear sky
24,Bredasdorp,-34.5322,20.0403,50.36,89,0,6.53,ZA,2022-10-04 00:54:07,clear sky
25,Arraial Do Cabo,-22.9661,-42.0278,68.36,84,100,4.45,BR,2022-10-04 00:54:07,light rain
26,Iquitos,-3.7481,-73.2472,78.84,73,40,4.61,PE,2022-10-04 00:54:08,scattered clouds
27,Balotra,25.8333,72.2333,79.84,52,0,6.29,IN,2022-10-04 00:54:08,clear sky
28,Nokaneng,-19.6667,22.2667,70.27,19,0,6.08,BW,2022-10-04 00:54:09,clear sky
29,Crotone,39.0851,17.1178,68.45,60,12,22.39,IT,2022-10-04 00:54:09,few clouds
30,Nikolskoye,59.7035,30.7861,48.09,90,100,7.83,RU,2022-10-04 00:54:10,overcast clouds
31,Matamoros,25.5333,-103.25,61.11,78,100,2.98,MX,2022-10-04 00:54:10,overcast clouds
32,Carnarvon,-24.8667,113.6333,71.37,40,0,6.11,AU,2022-10-04 00:54:10,clear sky
33,Castro,-24.7911,-50.0119,56.52,97,100,4.27,BR,2022-10-04 00:54:11,overcast clouds
34,Podosinovets,60.2776,47.0659,51.26,87,100,8.5,RU,2022-10-04 00:54:11,overcast clouds
35,Waupun,43.6333,-88.7296,59.52,65,7,5.23,US,2022-10-04 00:54:12,clear sky
36,Jamestown,42.097,-79.2353,48.02,63,0,6.91,US,2022-10-04 00:52:41,clear sky
37,Beeville,28.4008,-97.7483,80.98,41,0,0.0,US,2022-10-04 00:54:04,clear sky
38,Hovd,48.0056,91.6419,25.86,31,3,1.74,MN,2022-10-04 00:54:12,clear sky
39,Itarema,-2.9248,-39.9167,77.83,77,97,14.05,BR,2022-10-04 00:54:13,overcast clouds
40,Puerto Ayora,-0.7393,-90.3518,65.55,94,41,3.0,EC,2022-10-04 00:54:13,scattered clouds
